sent1,sent2,score,CUI-Cosine,CUI-Text-Cosine,POS-Cosine,NVA-Cosine,Sentence-Cosine,CUI-Jaccard,CUI-Text-Jaccard,POS-Jaccard,NVA-Jaccard,Sentence-Jaccard,Pubmed-Cosine,Wiki-Cosine,Google-Cosine,NVA-Pubmed-Cosine,NVA-Wiki-Cosine,NVA-Google-Cosine,WMD-Pubmed,WMD-Google,NVA-WMD-Pubmed,NVA-WMD-Google,bioBERT,clinicalBERT,dischargeBERT,maskedBERT
""" Patient arrives, via hospital wheelchair, Gait steady, History obtained from patient, Patient appears comfortable, Patient cooperative, alert, Oriented to person, place and time.""",""" Complex assessment performed, Patient arrives ambulatory, Gait steady, History obtained from, parent, Patient appears comfortable, Patient cooperative, alert, Oriented to person, place and time.""",3,1.0,1.0000000000000002,0.9759280012007258,0.7325820656675701,0.7325820656675701,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.9873914,0.9970187328080156,0.93810403,0.9820107,0.9970698076954987,0.9382157,0.7000438040293646,0.8826707375807686,0.7000438040293646,0.8826707375807686,0.9836739711885122,0.9836677885718418,0.9845228767097949,0.9703287504873783
oxycodone [ROXICODONE] 5 mg tablet 0.5-1 tablets by mouth every 4 hours as needed.,pantoprazole [PROTONIX] 40 mg tablet enteric coated 1 tablet by mouth Bid before meals.,1,0.14607547573705143,0.2907067498469417,0.8314915644659469,0.14492046704947395,0.13933967654608734,0.3333333333333333,0.5555555555555556,0.6,0.15384615384615385,0.16666666666666666,0.9315252,0.9876888540787783,0.7647077,0.92378175,0.981157346053003,0.8284719,2.186550085490323,2.522177835847709,2.186550085490323,2.5708113208828975,0.9272171262786166,0.9340664505453389,0.9297503168049881,0.8727310081625207
The patient has missed 0 hours of work in the past seven days for issues not related to depression., In the past year the patient has the following number of visits: none in the hospital  none in the er and  one as an outpatient.,0,0.0,0.0,0.7470005652200905,0.12967204816819297,0.11827596608992288,0.0,0.0,0.8,0.11764705882352941,0.1,0.94710237,0.9873046667790049,0.7725128,0.8752481,0.9780409640628412,0.6491573,2.214301456251027,2.5432679597556707,2.298071989775464,2.557063182845022,0.9185196780483725,0.9102686961570308,0.9241176186870044,0.8612077774679631
""" Given current medication regimen, the following parameters should be monitored by outpatient providers: None""",""" Given current medication regimen, the following parameters should be monitored by outpatient providers: lithium level""",3,0.5708758899431106,0.5264282897152314,0.9940374146966156,0.8734313943327485,0.8734313943327485,0.5,0.5714285714285714,1.0,0.75,0.75,0.9875533,0.9981888513961068,0.95856285,0.9825301,0.9975862399365361,0.9493459,0.5226918068887144,0.6698274604633759,0.5226918068887144,0.6698274604633759,0.9752572129694397,0.9691079936601801,0.9735696631096206,0.9872648905530004
The diagnosis and treatment plan were explained to the family/caregiver who expressed understanding of the information presented., Explained diagnosis and treatment plan; patient expressed adequate understanding of the information presented today.,4,0.8105586205640014,0.8707880313882483,0.901273957025871,0.7297969142460343,0.7297969142460343,0.8,0.875,0.5,0.6153846153846154,0.6153846153846154,0.963105,0.9964590200086776,0.9074528,0.94900554,0.9959550733890661,0.9141389,0.7745280393359069,0.8835933860883113,0.7745280393359069,0.8835933860883113,0.9509834299276957,0.9548438952311836,0.9406427982041698,0.9436584786243694
nortriptyline [PAMELOR] 50 mg capsule 1 capsule by mouth every bedtime.,Tylenol Extra Strength 500 mg tablet 2 tablets by mouth every bedtime.,1,0.06678475554455841,0.07305141536903223,0.7614504976541189,0.2275591477722125,0.20425806389150114,0.14285714285714285,0.16666666666666666,0.5,0.2,0.14285714285714285,0.9346738,0.9836364366106353,0.78958356,0.91108423,0.9778158728934707,0.7496313,2.103262125710991,2.5576555374744707,2.103262125710991,2.855509936879795,0.9510660498907191,0.9491025059300692,0.9539957725811556,0.9192157069331881
Spent 25 minutes with the patient and greater than 50% of this time was spent counseling the patient regarding diagnosis and available treatment options., Spent 15 minutes with the patient and greater than 50% of this time was spent counseling the patient regarding diagnosis and available treatment options; 025 modifier.,4,1.0,1.0,0.9977776412970628,0.9193984236011561,0.8032207284830737,1.0,1.0,1.0,0.9090909090909091,0.7333333333333333,0.99711293,0.9991987183046641,0.9860509,0.994239,0.999359090451015,0.9816967,0.276513954760941,0.33256485905189925,0.276513954760941,0.33256485905189925,0.9899780217945277,0.9873707445996095,0.9920412027333877,0.9906213254250216
"""Respiratory: Negative for cough, chest tightness, shortness of breath and stridor.""","""HENT: Negative for congestion, rhinorrhea, sinus pressure and sore throat.""",2.5,0.0,0.0,0.9730455614875412,0.08090878246237557,0.08090878246237557,0.0,0.0,1.0,0.06666666666666667,0.06666666666666667,0.8571542,0.9949217965613348,0.7507687,0.8211139,0.9930796779999834,0.74449575,2.8249812064923048,3.1252912889770834,2.8249812064923048,3.1252912889770834,0.8997562686333188,0.9285175931771404,0.928413409441525,0.8559828074149972
ondansetron [ZOFRAN] 4 mg tablet 1 tablet by mouth three times a day as needed.,minocycline [MINOCIN] 50 mg capsule 1 capsule by mouth two times a day.,1,0.05769281609480324,0.09647820466414025,0.9702152808153715,0.2145032631714965,0.20470767460285896,0.14285714285714285,0.18181818181818182,0.6666666666666666,0.3,0.26666666666666666,0.90145856,0.9693465019327232,0.773597,0.87015104,0.9659204721167363,0.7375209,1.86528382542523,1.9804984885511754,2.02179006193422,2.364775116175089,0.9276793581581665,0.9440844204250227,0.9313753564980433,0.8480862522607312
Explained diagnosis and treatment plan; patient/child/caregiver expressed understanding of the content, Explained diagnosis and treatment plan; patient/care giver expressed understanding of the content.,4.9,1.0,1.0000000000000002,1.0,0.6707882037938062,0.6707882037938062,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.97929233,0.9994055800414842,0.9470413,0.97084993,0.9994493113110383,0.9451089,0.5338599422362804,0.6520619886314392,0.5338599422362804,0.6520619886314392,0.9680721279052188,0.976312669730802,0.9788197224746643,0.9670817116004874
